count,hate_speech,offensive_language,neither,class,tweet,label,clean_tweet
3,1,2,0,1,""" bitch get up off me """,0,bitch get up off me
3,0,3,0,1,""" bitch nigga miss me with it """,0,bitch nigga miss me with it
3,0,3,0,1,""" bitch plz whatever """,0,bitch plz whatever
3,1,2,0,1,""" bitch who do you love """,0,bitch who do you love
3,0,3,0,1,""" bitches get cut off everyday B """,0,bitches get cut off everyday b
3,0,3,0,1,""" black bottle & a bad bitch """,0,black bottle a bad bitch
3,0,3,0,1,""" broke bitch cant tell me nothing """,0,broke bitch cant tell me nothing
3,0,3,0,1,""" cancel that bitch like Nino """,0,cancel that bitch like nino
3,0,3,0,1,""" cant you see these hoes wont change """,0,cant you see these hoes wont change
3,0,3,0,1,""" fuck no that bitch dont even suck dick "" 😂😂😂 the Kermit videos bout to fuck IG up",0,fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up
3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" 😂 http://t.co/cOU2WQ5L4q",0,got ya bitch tip toeing on my hardwood floors
3,0,2,1,1,""" her pussy lips like Heaven doors "" 😌",0,her pussy lips like heaven doors
3,0,3,0,1,""" hoe what its hitting for """,0,hoe what its hitting for
3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" 😌",0,i met that pussy on ocean dr i gave that pussy a pill
3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,0,i need a trippy bitch who fuck on hennessy
3,0,3,0,1,""" i spend my money how i want bitch its my business """,0,i spend my money how i want bitch its my business
3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,0,i txt my old bitch my new bitch pussy wetter
3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" 😌",0,i d say im back to the old me but my old bitches would get excited
3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,0,if you aint bout that murder game pussy nigga shut up
3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,0,if you re toes ain t done you pussy stinks
3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
3,0,3,0,1,""" is that ya bitch """,0,is that ya bitch
3,0,3,0,1,""" it aint nothing to cut a bitch off """,0,it aint nothing to cut a bitch off
3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",0,jus meet son now he ya mane ass bitches shots
3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,0,lames crying over hoes thats tears of a clown
3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,0,like snoop said in we dont love these hoes
3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,0,momma said no pussy cats inside my doghouse
3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",0,most hated but the hoes favorite mw sevenone
3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",0,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick
3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",0,pimps up pimps up hoes down future voice
3,0,3,0,1,""" post a picture of that pussy get 200 likes """,0,post a picture of that pussy get likes
3,0,3,0,1,""" pussy is a powerful drug "" 😅 #HappyHumpDay http://t.co/R8jsymiB5b",0,pussy is a powerful drug happyhumpday
3,0,3,0,1,""" quick piece of pussy call it a drive by """,0,quick piece of pussy call it a drive by
3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,0,running round here like some brand new pussy thats bout to get fucked
3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,0,these bitches even worst they ll send them guys for you
3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,0,these hoes like niggas that spend money not talk bout it
3,1,2,0,1,""" we dont trust these niggas all these bitches """,0,we dont trust these niggas all these bitches
3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,0,yall niggas b cuffing hoes cause yall aint never have bitches
3,0,3,0,1,""" you dodge a bullet "" 😅 “@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God 🙏""”",0,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god
3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,0,young pill chamberlain these bitches love my music
3,0,2,1,1,"""😂😂😂😂😂😂😂😂😂😂😂@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",0,teanna trump probably cleaner than most of these twitter hoes but
3,0,3,0,1,"""😂😂😂😂😂😂😂😂😂😂@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",0,gay niggas couldn t wait to act like bitches tonight
3,0,3,0,1,"""😂😂😂@The_Paradox: And ima steal his cat n replace it with a pitbull 😂😂😂😂 RT @80sbaby4life: @The_Paradox He a bitch you should do it""",0,and ima steal his cat n replace it with a pitbull he a bitch you should do it
3,0,3,0,1,"""& he's gone always be a hoe""",0,he s gone always be a hoe
3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",0,son of a bitch took my tic tacs i like this movie
3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",0,all i wanna do is get money and fuck model bitches russell simmons
3,0,2,1,1,"""@2015seniorprobs: I probably wouldn’t mind school as much if we didn’t have to deal with bitch ass teachers"". Retweet",0,i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet
3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",0,i m a fucking fag they said
3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",0,females think dating a pussy is cute now how does doing this stuff make him a pussy
3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",0,simplyaddictedtoguys woof woof hot scally lad
3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",0,have ya ever asked your bitch for other bitches kanye voice yes
3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! 😩😩😩😩"" I SWEAR!!!!!",0,how u gone bring ur side bitch to a game where you know ya gf friends at i swear
3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",0,woof woof and hot soles
3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo & do these dishes."" One oreo? Lol",0,lemmie eat a oreo do these dishes one oreo lol
3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",0,bitch fuck u maybe you ll get better just
3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",0,fuck red malone man bitch ass niggah could you please use complete sentences
3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",0,why the eggplant emoji doe y he say she looked like scream lmao
3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT 🙈 http://t.co/i8eGMnKaJ9"" that's one sexy bitch",0,hennessey venom gt that s one sexy bitch
3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""<lmao!!",0,him seh me pussy wetter then a shower curtain ahmesehwetness lmao
3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",0,eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",0,yo fuck skateboarding all y all some wood pushing faggots man ball is life
3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",0,baby monkey bathtime awwwwe this is soooo adorable
3,0,3,0,1,"""@BaylaaGottaBody: 😂😂😂😂 I ain't shit ."" Damn Skippy lol",0,i ain t shit damn skippy lol
3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b >30%chance",0,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b chance
3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",0,rings mvps bitches lol
3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",0,ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn
9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",0,the facts on tattoos tattoo he s a pussy with not tattooing them nipples
3,0,3,0,1,"""@Bill215_: 💯💯💯 RT @nel_ayden Bitches be wanting to act like niggas so bad 😩😩😩 that shit aint cuteeeee"" but niggas act like bitches..",0,bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches
3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",0,get worshiping bitch woof woof
3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",0,wow i m lost are those buttcheek piercings yeah she s a hoe
3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",0,ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her
3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",1,queer gaywad
3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",0,faggot read my tweets after dat k it wasn t even funny lol
3,0,3,0,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",0,this bitch was so ungrateful fr lulwhore
3,0,3,0,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""",0,i been kidnapped yo bitch
3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",1,alsarabsss hes a beaner smh you can tell hes a mexican
3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",0,happy birthday nigs thanks yo
6,1,5,0,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",0,when ur teacher tells u that u have homework this bitch need to go
3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",0,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
3,0,3,0,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up & weave?""",0,what would y all lil ugly bald headed bitches do if they stop making make up weave
3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",0,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
3,0,3,0,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",0,going back to school sucks more dick than the hoes who attend it
3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",0,on my way to fuck yo bitch me as a year old
3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",0,how come you never bring me food i dont have a car retard
3,0,3,0,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",0,if richnow doesn t show up with hella tinder hoes im not his friend anymore chill i brought like like prople
3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",0,how bout them cowboys shutup pussy
3,0,3,0,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" <bitch want likes for some depressing shit..foh",0,lmaooooooooooo this nigga bitch want likes for some depressing shit foh
3,0,3,0,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you & you was going lbvs""bitch plz",0,girl you know i was spitting that g shit to you you was going lbvs bitch plz
3,0,3,0,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",0,let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again
3,0,2,1,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",0,harlem shake is just an excuse to go full retard for seconds
3,0,3,0,1,"""@ComedyTruth: amen miley 🙏 http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",0,amen miley but she don t need to act like a hoe just bc she s emotionally damaged foh
3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc 💯""",0,having one loyal female is wayyyyy better than having hoes idc
3,0,3,0,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 🐱 https://t.co/KeegDCjS5K”""""""""

😕",0,pussy licking pussy meow meow stopwhitepeople
3,0,3,0,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",0,check out our th man cowboysnation even with all those faggot ny fans in the stands
3,0,3,0,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",0,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
3,0,3,0,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat 😪😏🐸"" wow",0,im the bitch okay nudes pat wow
3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",1,you re fucking gay blacklisted hoe holding out for tehgodclan anyway
3,0,3,0,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",0,the fuck be wrong with these bitches nobody knows
3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch",0,yall shut up p make me bitch
3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",0,i hate a i m pregnant type of bitch
3,0,3,0,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",0,got bitches in the dm but i don t ever read em which is y your top
3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",0,baseball season for the win yankees this is where the love started
3,0,3,0,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",0,little stupid as bitch i don t fuck with yoooooouuuu
3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",0,she really asked me that dead ass serious tho all i could say was bitch wheet lol
3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0,i m an early bird and i m a night owl so i m wise and have worms
3,0,1,2,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0,overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day
3,0,0,3,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh”

They *are* fairy tale creatures.",0,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",0,aw fag don t tweet aw to me lol
3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",0,as long as the lakers trash from now on i could careless and that s real cc hahaha
3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",0,i didn t say anything tho kiss me then faggot
3,0,0,3,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" 😂 yup",0,this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup
3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same",0,i could go for a fat ass bitch on my lap same
3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! 😠😡""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",0,missed calls das yo p o bitch twitter finna be screamn freemoneymelle
6,0,6,0,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao 😂😂😂😂",0,ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao
3,0,3,0,1,"""@GagaTom1: “@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i”"" fuck yeah",0,amo los pies fuck yeah
3,0,3,0,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass 😴👋"" ainna bruh",0,these hoes be thinking meat won t slap they ass ainna bruh
3,0,3,0,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking 😩😴✋""😂😂😂",0,yall bitches wit no edges be doing the most talking
3,0,3,0,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",0,yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit
3,0,3,0,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",0,i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
6,0,6,0,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",0,if she kiss u with her eyes open watch that bitch lmfao
3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe 😳🙊""",0,you a woulda coulda shoulda ass hoe
3,0,3,0,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",0,happy bday bitch ass nigga preciate that bitch roll up
3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",0,used to send that bitch up
6,0,6,0,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses😂😂""",0,ugly bitches be like i m my own wcw duh bitch you ain t nobody elses
3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",0,nigga you know we hacky sack hoes nah i throw no look passes lmao
3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in & outta jail & dumb bitches with mad kids fuckin em.""",0,glad i m getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em
3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",0,this isn t ghetto it s smart i m doing this idc
3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",0,i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place
3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",0,being single isn t an excuse to be a hoe
3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch",0,white boy power bitch black power bitch
3,0,3,0,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts & fuck hoes!"" Bro white dudes have no chill.",0,lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill
3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",0,bitch where u been around the world and back where you been
3,0,3,0,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off 😂😂😂😂"" *by @anelylove *",0,if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off by
3,0,2,1,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",0,oomf is soooo cute but he probably has hoes on him a lot
3,0,3,0,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",0,in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe
3,0,1,2,2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",0,who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
3,0,3,0,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy 😒"" ooooow I bet you do",0,i wish i was a bitch like my brother keezy ooooow i bet you do
6,0,6,0,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",0,if you dressed up as a cat for halloween you are basic or a pussy
4,0,4,0,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie<3",0,can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie
3,0,3,0,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She’ll like it."". Says the guy who hits women out of bed. FOH",0,stop being scared to choke her during sex u bitch ass niggas she ll like it says the guy who hits women out of bed foh
3,0,3,0,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",0,ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
6,0,6,0,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",0,oh man its am you off a molly ho where the fuck ya seed at fixed
3,0,3,0,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",0,you re not a man if you refer to every girl as a bitch
3,0,3,0,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",0,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
3,0,1,2,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",0,peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash
3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",0,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
3,0,3,0,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",0,naw it s my old tape new cover my upcoming mixtape is kingofthehill yeah i m waiting on that hoe mayne
3,0,3,0,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",0,ol dirty foot ass bitches this was too funny to me
3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing 👏😌"" HELL YEAH NIGGY",0,that s where i get my yellow flags for being amazing hell yeah niggy
3,0,3,0,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",0,don t got time for bitches to be actin iffy
3,0,0,3,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",0,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
3,0,2,1,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh & wonder why nobody decent wants them",0,these hoes ain t loyal no they ain t smfh wonder why nobody decent wants them
3,0,3,0,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",0,bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
3,0,3,0,1,"""@LODYCASH: dry pussy bitches always blame it on the condom😂""👏😂👏😂",0,dry pussy bitches always blame it on the condom
3,0,3,0,1,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" 😭😂",0,shut yo bitch ass up
3,0,3,0,1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",0,gucci mane in jail and dropping mixtapes every month and you hoes can t even text back
3,0,3,0,1,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",0,you love these hoes more then money wats wrong these niggas
6,0,6,0,1,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",0,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
3,0,3,0,1,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",0,easy cum easy hoe that s a fact
3,0,3,0,1,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",0,charlie sheen is too real major fucking respect for charlie sheen
3,0,3,0,1,"""@Lightskingawdd: Wish I had a bae 😕""

You got all the hoes tho",0,wish i had a bae you got all the hoes tho
3,0,3,0,1,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",0,fuck twerking bitch can you cook
3,0,3,0,1,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",0,bitch wtf
3,1,2,0,1,"""@Lipe_the_Great: “@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy” for zoe? I'm good, man."" You are good ma'am. Move along now",0,shut up zoe fight me pussy for zoe i m good man you are good ma am move along now
